Price,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_30,Volatility_7,Volatility_30
Ticker,ZS=F,ZS=F,ZS=F,ZS=F,ZS=F,,,,,
Date,,,,,,,,,,
2024-02-28,1134.0,1144.5,1124.75,1132.25,37481,0.24309392265193797,1145.9642857142858,1188.7833333333333,0.8557283871776179,0.9968736565047687
2024-02-29,1128.25,1136.0,1115.0,1132.0,4459,-0.507054673721341,1138.7142857142858,1186.2,0.7227888236708842,0.9576964385984847
2024-03-01,1143.0,1143.5,1126.75,1128.25,763,1.3073343673831062,1136.1785714285713,1183.85,0.8989081555337025,0.9855451726095904
2024-03-04,1147.0,1158.0,1145.0,1152.0,404,0.34995625546807574,1136.0714285714287,1181.6416666666667,0.8209738231271958,0.9901128314104262
2024-03-05,1140.75,1147.0,1138.75,1147.0,1080,-0.5448997384481236,1137.1785714285713,1178.8583333333333,0.6608875587391626,0.9703342418488644
2024-03-06,1140.25,1140.25,1132.25,1138.5,287,-0.04383081306158498,1137.7857142857142,1175.55,0.6582967738423546,0.9304225070009196
2024-03-07,1157.0,1157.0,1151.0,1155.0,443,1.4689761017320668,1141.4642857142858,1172.775,0.8027110277708305,0.9819719689435369
2024-03-08,1170.5,1170.5,1145.5,1157.0,199,1.166810717372524,1146.6785714285713,1171.025,0.8608609422221878,0.9884206075294941
2024-03-11,1165.0,1170.75,1165.0,1170.0,42,-0.46988466467321466,1151.9285714285713,1169.55,0.8540124806475957,0.973084043137671
2024-03-12,1182.0,1182.0,1167.0,1167.0,73,1.4592274678111528,1157.5,1169.1416666666667,0.8805850651921215,0.9905316274640794
2024-03-13,1181.75,1182.75,1173.75,1178.25,24,-0.02115059221657889,1162.4642857142858,1167.9083333333333,0.9009199950132871,0.9093242031087527
2024-03-14,1180.75,1198.5,1180.75,1182.0,164064,-0.08462026655383648,1168.1785714285713,1166.525,0.8320046084519876,0.9064124548445276
2024-03-15,1198.25,1200.0,1183.5,1194.5,117888,1.4821088291340212,1176.4642857142858,1166.3583333333333,0.8660449869974529,0.909214756861884
2024-03-18,1187.75,1206.0,1186.75,1198.5,97550,-0.876277905278533,1180.857142857143,1166.3333333333333,0.9726061864596982,0.8952262995197638
2024-03-19,1185.5,1192.25,1181.0,1188.0,103620,-0.18943380340981086,1183.0,1165.975,0.9234646691644447,0.8872956970180527
2024-03-20,1209.5,1211.75,1183.5,1185.5,161255,2.0244622522142652,1189.357142857143,1166.3083333333334,1.093854372287996,0.9621434997799811
2024-03-21,1212.0,1226.75,1204.0,1209.0,150049,0.20669698222406385,1193.642857142857,1167.075,1.0186772752277413,0.9471145852042011
2024-03-22,1192.5,1211.25,1189.25,1211.0,121895,-1.6089108910891103,1195.1785714285713,1167.0416666666667,1.2653917162326447,0.9930547910743421
2024-03-25,1209.25,1210.0,1188.5,1194.0,106767,1.4046121593291439,1199.25,1167.9,1.3447619684557641,1.0118785100358838
2024-03-26,1199.0,1208.0,1197.75,1207.5,119009,-0.847632830266698,1199.357142857143,1168.1,1.305315372854091,1.0159014300224887
2024-03-27,1192.5,1198.0,1189.5,1196.75,104399,-0.5421184320266836,1200.0357142857142,1168.3083333333334,1.2729446918387815,1.0154382659265575
2024-03-28,1191.5,1199.5,1177.0,1191.75,160360,-0.08385744234801207,1200.892857142857,1169.0083333333334,1.2700642840344918,0.9832916698064529
2024-04-01,1185.75,1201.75,1181.5,1196.25,104397,-0.48258497691985314,1197.5,1169.7916666666667,0.9408521328204218,0.9781235862978189
2024-04-02,1174.0,1199.75,1171.0,1185.5,173481,-0.9909340080118123,1192.0714285714287,1169.85,0.946659904774122,0.985002934628028
2024-04-03,1182.25,1186.75,1168.5,1175.5,160346,0.7027257240204365,1190.607142857143,1169.9583333333333,0.8756191666129084,0.9877868982510415
2024-04-04,1180.0,1186.75,1170.25,1182.25,119935,-0.19031507718333396,1186.4285714285713,1170.6,0.5653099921029255,0.9438913332445353
2024-04-05,1185.0,1190.75,1173.0,1178.0,162613,0.4237288135593209,1184.4285714285713,1171.8416666666667,0.5819521826755764,0.9191489894797168
2024-04-08,1181.5,1193.25,1180.5,1187.75,159389,-0.2953586497890348,1182.857142857143,1173.4583333333333,0.5625352692854318,0.8844310928386411
2024-04-09,1174.5,1184.25,1172.0,1181.5,167029,-0.5924672027084243,1180.4285714285713,1174.7416666666666,0.5877228734964192,0.8941749872987941
2024-04-10,1164.75,1180.75,1163.0,1174.75,156535,-0.8301404853129024,1177.4285714285713,1175.8583333333333,0.6284866055505758,0.9057351035087318
2024-04-11,1159.25,1166.25,1151.0,1163.75,163734,-0.4722043356943595,1175.3214285714287,1176.7,0.553066802976978,0.9112711408777083
2024-04-12,1174.0,1179.75,1154.0,1158.5,160130,1.2723743799870624,1174.142857142857,1178.225,0.7208970594860956,0.9296412797175758
2024-04-15,1158.25,1176.0,1155.5,1173.25,134465,-1.3415672913117516,1171.0357142857142,1178.7333333333333,0.8628716343091318,0.9403594359668929
2024-04-16,1145.0,1163.0,1143.25,1157.25,148376,-1.1439671918843097,1165.3214285714287,1178.6666666666667,0.858593695761287,0.9631227656377995
2024-04-17,1149.5,1155.25,1141.75,1145.0,104230,0.3930131004366899,1160.75,1178.9583333333333,0.9212298645577378,0.9600881328806218
2024-04-18,1134.25,1149.75,1133.0,1149.0,109349,-1.3266637668551517,1155.0,1178.7583333333334,0.9877990353250096,0.991538723413413
2024-04-19,1150.5,1153.0,1131.75,1134.0,124590,1.4326647564469885,1152.9642857142858,1178.5416666666667,1.2052897688259996,0.9896879145999706
2024-04-22,1161.0,1167.0,1144.5,1147.75,107395,0.9126466753585305,1153.2142857142858,1178.225,1.2597433383742616,0.9802737385736648
2024-04-23,1167.5,1169.0,1158.0,1161.0,112266,0.5598621877691556,1152.2857142857142,1178.3083333333334,1.1679122205404504,0.9820960183532672
2024-04-24,1166.0,1177.5,1164.0,1166.5,92302,-0.12847965738758127,1153.392857142857,1177.775,1.030270724199533,0.9434248212178951
2024-04-25,1162.75,1166.5,1150.5,1164.75,106684,-0.2787307032590003,1155.9285714285713,1177.1416666666667,0.8998157050692503,0.9444083469176033
2024-04-26,1159.5,1164.0,1155.0,1162.25,78879,-0.279509782842402,1157.357142857143,1176.4333333333334,0.9144803192767903,0.9453265974261286
2024-04-29,1160.75,1171.75,1157.0,1158.5,58269,0.10780508840018133,1161.142857142857,1175.1833333333334,0.6595168680233658,0.900443411789297
2024-04-30,1145.5,1163.0,1141.0,1158.75,5743,-1.3138057290544958,1160.4285714285713,1173.775,0.7107713138071282,0.916810837215267
2024-05-01,1155.75,1156.25,1141.0,1145.0,3404,0.8948057616761318,1159.6785714285713,1172.7833333333333,0.7067226116862747,0.9350304945280824
2024-05-02,1190.0,1200.0,1155.75,1155.75,2408,2.9634436513086726,1162.892857142857,1172.1333333333334,1.3503583600729279,1.0197945047560986
2024-05-03,1201.75,1202.0,1193.0,1193.0,711,0.9873949579831898,1168.0,1171.7916666666667,1.359823104113201,1.03637489556921
2024-05-06,1234.75,1236.5,1197.0,1197.0,486,2.7459954233409523,1178.2857142857142,1173.2,1.559249080632208,1.109043926229875
2024-05-07,1232.25,1240.5,1230.0,1234.5,51,-0.20247013565498628,1188.6785714285713,1173.9666666666667,1.550008748491732,1.0834738146834089
2024-05-08,1212.75,1233.5,1211.25,1233.5,87,-1.582471089470483,1196.107142857143,1174.425,1.8021137177570448,1.1128077305321158
2024-05-09,1192.75,1218.0,1192.5,1216.5,66,-1.6491445062873589,1202.857142857143,1174.4333333333334,1.8660867944266528,1.1506243597461052
2024-05-10,1205.0,1205.0,1195.0,1196.75,82,1.0270383567386299,1209.892857142857,1174.8833333333334,1.8703046357586859,1.1653785903058826
2024-05-13,1205.5,1205.5,1205.5,1205.5,6,0.04149377593360981,1212.107142857143,1175.5416666666667,1.5582882275297358,1.1611316711838324
2024-05-14,1199.0,1199.0,1199.0,1199.0,115517,-0.5391953546246331,1211.7142857142858,1176.375,1.5356344041494057,1.1498866239296723
2024-05-15,1213.5,1232.25,1209.5,1215.0,124938,1.2093411175980062,1208.6785714285713,1177.4166666666667,1.1301934879052797,1.1630434948501023
2024-05-16,1216.25,1219.75,1210.0,1214.0,99241,0.22661722290893138,1206.392857142857,1178.625,1.1442562160234753,1.1620256760307652
2024-05-17,1228.0,1231.25,1215.25,1216.5,133101,0.9660842754367849,1208.5714285714287,1180.0583333333334,1.0230056775379464,1.171298637973172
2024-05-20,1248.0,1250.75,1224.0,1227.25,171388,1.6286644951140072,1216.4642857142858,1182.275,0.7611852437921943,1.199789303533722
2024-05-21,1236.25,1249.25,1230.0,1246.5,126275,-0.9415064102564097,1220.9285714285713,1184.3333333333333,0.9415595380673139,1.2092895952271694
2024-05-22,1246.25,1249.75,1233.25,1235.0,125072,0.8088978766430666,1226.75,1187.05,0.9415822348057722,1.1991557645650308
2024-05-23,1239.25,1258.25,1236.0,1245.75,136099,-0.561685055165495,1232.5,1189.7166666666667,0.9456683624084635,1.2010790713733484
2024-05-24,1248.0,1251.0,1236.0,1239.0,107257,0.7060722211014836,1237.4285714285713,1192.1833333333334,0.8986404332798233,1.1885100829089794
2024-05-28,1229.5,1254.75,1226.25,1250.25,140138,-1.4823717948717952,1239.3214285714287,1194.5583333333334,1.1516320968919131,1.195111352886229
2024-05-29,1214.0,1231.25,1212.5,1229.0,123723,-1.2606750711671388,1237.3214285714287,1196.8583333333333,1.1986365559626895,1.1998380330837712
2024-05-30,1209.75,1220.0,1207.25,1213.0,107751,-0.35008237232290185,1231.857142857143,1198.8666666666666,0.9044035626494874,1.2034273565760587
2024-05-31,1205.0,1223.75,1202.75,1209.75,106393,-0.39264310808018177,1227.392857142857,1201.225,0.8770770370557844,1.1749181030483913
2024-06-03,1184.5,1205.5,1182.5,1204.25,119994,-1.7012448132780134,1218.5714285714287,1202.3583333333333,0.8305748881716071,1.2013488257090157
2024-06-04,1179.0,1189.5,1176.0,1184.0,145530,-0.4643309413254526,1209.9642857142858,1202.9583333333333,0.834480886008376,1.195682124399356
